GMC,Savana 2500,2012,WAULFAFH7DN107244,Blue,Automatic
Volkswagen,Golf,1995,5UXFA93546L728669,Goldenrod,Manual
Lincoln,Continental,2002,WDDHF2EB8CA973106,Red,Manual
Lincoln,Navigator,2008,JN1CV6EK6BM969487,Puce,Manual
Nissan,Versa,2009,KM8JT3AB3DU937819,Mauv,Manual
Chrysler,Imperial,1993,WAUAF78EX8A488582,Red,Automatic
Mitsubishi,Montero Sport,1999,5FRYD4H28EB048857,Blue,Automatic
Pontiac,G5,2008,WA1DGAFE2BD527680,Mauv,Automatic
Mercedes-Benz,E-Class,2007,1NXBU4EE2AZ110580,Puce,Manual
GMC,Yukon XL 2500,2011,1GYFK46818R186058,Red,Manual
Toyota,Sienna,2012,KNAFU5A25D5110527,Blue,Automatic
BMW,M5,2010,YV1902MD5F1611056,Khaki,Manual
Mercury,Topaz,1985,YV1382MS3A2687696,Goldenrod,Automatic
Ford,Festiva,1990,YV1382MS6A2027555,Orange,Automatic
Ferrari,599 GTB Fiorano,2010,WAUJC58E63A658412,Fuscia,Automatic
Dodge,Grand Caravan,2007,WBAYB6C5XED138293,Pink,Manual
Mazda,Mazda5,2006,2C4RDGCG5FR321382,Red,Manual
Volvo,V50,2011,WA1VMBFE6AD215895,Green,Manual
Suzuki,Equator,2009,1FTEW1E80AK733323,Blue,Manual
Mercury,Capri,1986,TRUWC28N021584738,Fuscia,Manual
Bentley,Continental GT,2010,WAUGGAFC5DN893225,Turquoise,Manual
Hyundai,Equus,2011,WAUHF98P36A240456,Goldenrod,Automatic
Volkswagen,GTI,1987,1N4AA5APXCC322597,Aquamarine,Manual
BMW,X5,2006,WAUVT68E82A015260,Blue,Manual
Scion,xB,2012,WDDHF8JB8DA828822,Puce,Manual
Toyota,RAV4,2004,JM1GJ1T59E1526928,Blue,Manual
Chrysler,Crossfire,2004,JTDKDTB34D1526685,Violet,Automatic
Mercedes-Benz,C-Class,2008,2G4WY55J721125968,Fuscia,Manual
Toyota,Celica,2005,1D7CE2BK8AS282344,Fuscia,Manual
Chevrolet,Express 2500,2005,2C3CDYBT9EH025963,Violet,Manual
